applicationNumber,filingDate,publicationDate,ipc
90/KOL/2007 A,2007-01-24,2008-08-29,F04B 39/00
924/KOL/2006 A,2006-09-12,2008-04-11,B01J 27/04
307/KOL/2007 A,2007-03-01,2008-10-03,B03B 13/00
01161/KOL/2005 A,2005-12-19,2008-02-22,G01N 27/30
759/KOL/2007 A,2007-05-16,2008-11-28,G07C 3/00
72/KOL/2007 A,2007-01-19,2008-08-29,H02K 29/00
591/KOL/2007 A,2007-04-16,2008-11-07,C22B 1/16
534/KOL/2007 A,2007-04-02,2008-10-17,C21D 9/46
306/KOL/2007 A,2007-03-01,2008-10-03,"B03C 1/23, B03C 1/02"
386/KOL/2006 A,2006-04-28,2009-04-03,G06F 19/00
436/KOL/2006 A,2006-05-11,2009-04-10,B22D 29/02
1207/KOL/2006 A,2006-11-13,2009-06-19,F28F 1/40
1072/KOL/2007 A,2007-08-01,2009-04-10,"C10L 5/00, C10G 1/00"
368/KOL/2005 A,2005-04-29,2009-10-16,C21B 13/00
960/KOL/2007 A,2007-07-04,2009-04-03,C21D 8/00
1266/KOL/2007 A,2007-09-07,2009-07-03,C10B 57/00
1003/KOL/2007 A,2007-07-16,2009-04-03,C21D 1/76
164/KOL/2009 A,2009-01-29,2010-08-06,C21C 5/28
1141/KOL/2008 A,2008-08-30,2010-03-05,B02C 23/22
1779/KOL/2008 A,2008-10-21,2010-04-30,"G01L 5/10, G01L 1/26, F16H 7/12, G01L 1/22"
2164/KOL/2008 A,2008-12-17,2010-06-18,B03C 3/00
966/KOL/2009 A,2009-07-13,2011-01-21,B23K 28/00
515/KOL/2009 A,2009-03-23,2011-01-21,G01N 21/00
573/KOL/2009 A,2009-03-31,2011-08-26,B21C 37/20
440/KOL/2009 A,2009-03-12,2011-01-21,"B24B 27/033, C21D 9/46"
329/KOL/2010 A,2010-03-26,2012-11-02,B21B 39/00
1395/KOL/2009 A,2009-11-27,2012-10-19,C04B 28/02
740/KOL/2011 A,2011-05-31,2012-12-07,C10G 45/02
360/KOL/2011 A,2011-03-18,2012-11-02,A61L 27/12
172/KOL/2010 A,2010-02-23,2012-10-26,C21C 7/10
705/KOL/2011 A,2011-05-23,2012-11-23,F16G 1
523/KOL/2011 A,2011-04-11,2012-11-16,H01M 4/90
1372/KOL/2009 A,2009-11-20,2012-10-19,C10B 57/04
1368/KOL/2009 A,2009-11-18,2012-10-19,B03B 13/00
1624/CHENP/2012 A,2012-02-22,2013-04-05,C21D 1/34
